Country,Source,Date,Title,Description,Link
US,MSN,2025-11-02 15:08:25+00:00,Key muni market website reportedly hobbled by ransomware attack - MSN,Key muni market website reportedly hobbled by ransomware attack  MSN,https://news.google.com/rss/articles/CBMi7wJBVV95cUxPOEFRRFV5T21hNkVRUTBGdDByU0w1Y1B3NzJxckttempUenJTSlN2Rjk1aHFzMmxQMWdnMmF4b1RycHFBbnBabkE5WS1zS1ZRbi10YjQ0T2VSclUweklMWlUwX1NLQTlNY0swNjBnTVRIdkhqejZGaHNCZHR2NFFFN1dGemI0VFJkTkJkSHA5cGJEa280Umh0TGNqdkNWN3lhT0xqU29teVJlTmF1RG8yRDA5MkMxZUk1enNNNXBvSzVCMnZNQ2dFdk1CSVEyNzktQmluelhqOFREczB5eHlzT1AwZEtDRjhVVjZpWmE3akp5eTd6cGVSTVRoVGVEOXE1VFI0VVFNcjFiTm5rTGVoekRfdDlRaFFlMnJfcktZcnh6TDhGQ0dIVUFLb1p4ZHZXR0FKSUVsN2pTZnRmYnUyRnR3cU85R0ZWMTVLdkhtYUVNSWs3N3A2NFRiQ2poZzFKNEZfQ29odXd3d0liN2xj?oc=5
UK,DataBreaches.Net,2025-10-27 12:11:35+00:00,"NY: Gloversville hit by ransomware attack, paid ransom - DataBreaches.Net","NY: Gloversville hit by ransomware attack, paid ransom  DataBreaches.Net",https://news.google.com/rss/articles/CBMikwFBVV95cUxNRXBIcGtiVmRoZDhSMHROZGRlT09saFdnOEFoRjJwU3RoUWRuZnRtUGI5TnNwWGlkdEZBOVRBbU9lRWU2MnlTbXJOaV9DUF93eURYYWgxenBEaVdseXpKS0lsb2FRaC1lb0JKS0hmVndHNTN3b09GWGlucmI3Zmw0TjRDc1EwcDBEc0lSTkJlUXYwVkk?oc=5
US,Cybersecurity Insiders,2025-10-22 16:08:36+00:00,Meeting and financial secrets of American company stolen in ransomware attack - Cybersecurity Insiders,Meeting and financial secrets of American company stolen in ransomware attack  Cybersecurity Insiders,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOVi1XMnoyQm1tTFhTUHlObHdkaEY1SlROcVVkb2xkbzJSMzduLXlNd0xmOVc3M1cyckkyM21rTjUxZTNQdWQyNy1RdHFrRmxxZEZmY1lnUW9OSlM5cHBOT3FTcEN1TE9qNldycHp3M1dRMjRJTU1hdUd1dXRDVjJUOWI0OWdrd29pSFY3N01XeW9tRVI4YjZYNHRmLVAwQXgtMWxyRTZlbnJTQWtwYlBQYm9hUGlkcWdq?oc=5
UK,MSN,2025-10-15 17:51:37+00:00,Key muni market website reportedly hobbled by ransomware attack - MSN,Key muni market website reportedly hobbled by ransomware attack  MSN,https://news.google.com/rss/articles/CBMi2AFBVV95cUxOYm9qZ21VRjVYY2dkOWdJY3kxVkZfTEs5eFNacm5tNDZqUG1iZ29XVVBCSmpkNTZ6eGFtQ28zSV8zanJOOEVvbTk5eVdobnk4YnBTX3FiV0lnWHVWYXRqaTh4Y2o2S2xtSjBLeTMyTS1YVDZiTDlXZ0dtSWdTa3JSc2U3Yk5VVG44b3FxeTJrbzY4V0V1eUQ5dDl1TU1OOWlYclhueGVkWElDOEc1MzAzOXdBQUZtTkN3OU9lLVRNUGFZcTR4emhJdVg3X2F5MWkzMlVQMnhFMFE?oc=5
US,Ars Technica,2025-10-02 07:00:00+00:00,Japan is running out of its favorite beer after ransomware attack - Ars Technica,Japan is running out of its favorite beer after ransomware attack  Ars Technica,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQcEt4c2s5VVZMRTcxdWNBRXZxZl93NE9zX2VCamJGQ3NXcWxPaEd6TGh1Uy1iaWZ6eGtCVGNxLXNXNDZaVXUwUVJoOWg4ak16ZjNRNzdwSWd1dWZsZ3hVTm5rbndIYXpkWHppb0xvZXZBaHRVaVFXbzlJTmxkQm82Ui1WbXpnVGRpcGhuY2QzRnZEV3F4Y29hdjhBUUQyeF81ZHRmTFBFTmNyNEU?oc=5
US,Security Affairs,2025-09-27 07:00:00+00:00,"Ohio’s Union County suffers ransomware attack impacting 45,000 people - Security Affairs","Ohio’s Union County suffers ransomware attack impacting 45,000 people  Security Affairs",https://news.google.com/rss/articles/CBMiuwFBVV95cUxNQzBLMHZVR0QtQ3FuQ05NWWxuMTdnRmJfVktVQjQ1cXFiYmxSeE9Ua1E0R21DZDRhOHo1WlZhTmVvMUsxcVNwenFNVWVTT0lZY0R5elJLMTV6a25BUDRJYWV0bVQwcFJnVjRrVjJlUHQtM3ZuX3FUX2FxVzV3TjBkRnVYZS1UYlREZWhsb3hiTUJiSGx5LVozQmY3elp4bDZrVE02THVVNTNHZzFPR2lOdkpORE5Xb3ZDRzV3?oc=5
US,The Record from Recorded Future News,2025-09-26 07:00:00+00:00,"Ransomware attack on Ohio county impacts over 45,000 residents, employees - The Record from Recorded Future News","Ransomware attack on Ohio county impacts over 45,000 residents, employees  The Record from Recorded Future News",https://news.google.com/rss/articles/CBMibEFVX3lxTFA3QVpwazAwVEdSaUNpWTVldFI1QzBYOGkwRGZZOWR3ZEtoejhwMk1YR2NSZnBtRGtUQ212RkxxNEJ2SUp1S3czS1lpdERlVGY5TEtBU2dOMVpRUEFxQ1k1TkppNjE3SlVZZUMxdA?oc=5
US,Yahoo Finance,2025-09-24 07:00:00+00:00,UK arrests man linked to ransomware attack that caused airport disruptions across Europe - Yahoo Finance,UK arrests man linked to ransomware attack that caused airport disruptions across Europe  Yahoo Finance,https://news.google.com/rss/articles/CBMifkFVX3lxTE9uWVFONDU1ODBmUVF3WXNxdWlSVVRlUXB1TFp1OXFGLTFLc1RxNnh6UXd4dkpKOHZCNzBzcVZtbUhLYXYwZ0ZuNVY3UmxKSkd5UTFTSEMwY3pCS2Q0YkdDVWpDWGYzN3VUclBjMTBORUxLdFVoRllPREV3Y2txZw?oc=5
UK,SweetwaterNOW,2025-09-24 07:00:00+00:00,Mum is the Word on Green River Ransomware Attack - SweetwaterNOW,Mum is the Word on Green River Ransomware Attack  SweetwaterNOW,https://news.google.com/rss/articles/CBMihgFBVV95cUxNV0hOeW5pWkhGT3FGaDdkRVJRajFKUzY5LUVjYU5uYXAyUmN5NTRQYURCbVM2WFJIckxBd2hwVzg0SFpiXzJWWWU5bDVVZmc1azEtanhfdlBHOVRKQkNNZTdwV1IxNjhJMmFlSGNQVE54REo1UXREN0tnQ3p1WXUzWDluaTRoZw?oc=5
US,Yahoo Finance,2025-09-23 07:00:00+00:00,European airports still dealing with disruptions days after ransomware attack - Yahoo Finance,European airports still dealing with disruptions days after ransomware attack  Yahoo Finance,https://news.google.com/rss/articles/CBMikwFBVV95cUxPTFVoQ2JWVDlQdXBPWUx4d2V1VmlyQldzSVdnenJWTzdtTlc0ckFjekgyXzUzZXJRMlRvSHhBengtdEdCVnBuNzBqUmZLZHQzc01LZzl2cDZiZzlTRmVlN2l5WWxnYm5DQXQxWTV4Z2psT0N6YklfWkMtc04xaTctN2VPMU1pTmsycXdmSjBDa1J0Q1k?oc=5
